FAMILY,SPECIES,BODY LENGTH (mm),,,,,,,,OFFSPRING SIZE  (mm),,,,,,LONGEVITY (d),,,,,,GENERATIONS PER YEAR,,,,,,FECUNDITY,,,,EXPLANATORY VARIABLES (Y/N),,,,,
Acrididae,Melanoplus gladstoni,20.75,1,22.65,1,21.7,1,21.7,1,4.1,1,4.45,1,,,56,1,,,,,Univoltine,7,1,0,0,0,22.5,1,,,X,X,,X,,X
Acrididae,Melanoplus glaucipes,,,,,,,,,,,4.26,55,1.15,55,,,,,,,,,,,,,10.58,55,,,,,,,,
Acrididae,Melanoplus infantilis,16.75,1,17.5,1,17.125,1,17.125,1,4.7,1,4.05,1,,,30.5,1,18.5,1,49,c,,,,,,,11.5,1,,,X,X,,X,,
Acrididae,Melanoplus keeleri,20.1,1,20.75,1,20.425,1,20.425,1,4.7,1,4.15,1,,,46,1,,,,,,,,,,,21,1,,,X,X,,X,,
Acrididae,Melanoplus kennicotti,16.5,1,26,1,21.25,1,21.25,1,4.95,1,4.4,1,,,33.5,1,,,,,,,,,,,12,1,,,X,X,,X,X,
Acrididae,Melanoplus lakinus,18.5,1,20.5,1,19.5,1,19.5,1,4.05,1,4.16,"1,55",1.1,55,28,1,,,,,,,,,,,21.25,1,,,X,X,,X,X,X
Acrididae,Melanoplus mexicanus,,,,,,,,,,,4.27,55,1.02,55,,,,,,,,,,,,,19.3,55,,,,,,,,
Acrididae,Melanoplus occidentalis,20.1,1,23,1,21.55,1,21.55,1,4.35,1,4.9,1,,,42.5,1,,,,,Univoltine,1,1,0,0,0,9,1,,,X,X,,X,,X
Acrididae,Melanoplus packardii,29.5,1,33.75,1,31.625,1,31.625,1,5.1,1,4.9,1,,,55,1,,,,,,,,,,,22.5,1,,,X,X,,X,X,X
Acrididae,Melanoplus plebejus,,,,,,,,,,,4.09,55,1.07,55,,,,,,,,,,,,,16.8,55,,,,,,,,
Acrididae,Melanoplus rugglesi,20,1,25.75,1,22.875,1,22.875,1,4.7,1,4.5,1,,,42,1,,,,,,,,,,,19.5,1,,,X,,,,X,X
Acrididae,Melanoplus sanguinipes,23,1,24.5,1,23.75,1,23.75,1,5,1,4.5,"1,72",1.2,72,45,1,75,72,120,c,Variable,7,1,1,0,0,21.4,"1,57",17.55,"57,59",X,X,,X,X,X
Acrididae,Melanoplus scudderi,,,,,,,,,,,4.13,55,1.04,55,,,,,,,,,,,,,23.8,55,,,,,,,,
Acrididae,Mermiria bivittata,27,1,37.65,1,32.325,1,32.325,1,9.95,1,7.12,"1,55",1.56,55,,,,,,,,,,,,,17.95,"1,55",,,X,X,,X,,X
Acrididae,Mesopsera filum,,,,,,,44.4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Mesopsis laticornis,,,,,,,,,,,5.95,9,,,,,,,,,,,,,,,30.5,9,,,X,,,,,
Acrididae,Metator pardalinus,23.5,1,32,1,27.75,1,27.75,1,6.75,1,6.62,"1,55",1.54,55,36,1,,,,,Univoltine,1,1,0,0,0,16,"1,55",,,X,X,,,X,
Acrididae,Metaxymecus gracilipes,,,,,,,,,,,4.75,9,,,,,,,,,Variable,7,1,1,0,0,34,9,,,X,,,,,
Acrididae,Miramella alpina,19.5,2,26.5,2,23,2,23,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Morphacris fasciata,,,,,,,,,,,4.55,9,,,,,,,,,,,,,,,24,9,,,X,,,,,
Acrididae,Myrmeleotettix maculatus,12,2,14.5,2,13.25,2,13.25,2,,,,,,,,,,,,,Univoltine,50,1,0,0,0,,,,,X,,,,,
Acrididae,Nebulatettix subgracilis,,,,,,,,,,,4.15,55,1.1,55,,,,,,,,,,,,,15.7,55,,,,,,,,
Acrididae,Nomadacris septemfasciata,,,,,,,,,,,5.9,9,,,,,243.3,7,,,Univoltine,7,1,0,0,0,133,9,,,X,,,,,
Acrididae,Oedaleonotus enigma,19.5,1,21.5,1,20.5,1,20.5,1,4.4,1,5,1,,,46,1,,,,,,,,,,,19,1,,,X,X,,X,X,X
Acrididae,Oedaleus abruptus,14.6,52,21.5,52,18.05,52,18.05,52,,,3.7,10,,,,,,,,,Bivoltine,52,0,1,0,0,22.5,10,,,,,,X,,
Acrididae,Oedaleus australis,,,,,,,,,4.8,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Oedaleus nigeriensis,,,,,,,,,,,4.4,9,,,,,,,,,,,,,,,27,9,,,X,,,,,
Acrididae,Oedaleus nigrofasciatus,,,,,,,,,5.75,8,4.5,8,1.25,8,80,8,,,,,,,,,,,22.5,8,,,,,,,X,
Acrididae,Oedaleus senegalensis,,,,,,,,,,,,,,,,,,,,,Multivoltine,59,0,0,1,0,22.5,59,2.5,59,,,,,,
Acrididae,Oedipoda caerulescens,18,2,25,2,21.5,2,21.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Omocestus haemorrhoidalis,12,2,17.5,2,14.75,2,14.75,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Acrididae,Omocestus rufipes,14.5,2,19.5,2,17,2,17,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Omocestus viridulus,15,2,22,2,18.5,2,18.5,2,,,,,,,,,,,,,Univoltine,50,1,0,0,0,,,,,X,,,,,
Acrididae,Opeia obscura,14.25,1,18.85,1,16.55,1,16.55,1,5.55,1,4.14,1,,,43,1,,,,,,,,,,,9,1,,,X,X,,X,X,X
Acrididae,Ornithacris cyanea,,,,,,,,,,,5.7,9,,,,,,,,,,,,,,,161,9,,,X,,,,,
Acrididae,Orphulella pelidna,,,,,,,,,,,4.545,55,1.15,55,,,,,,,,,,,,,8.3,55,,,,,,,,
Acrididae,Orphulella speciosa,14,1,18,1,16,1,16,1,4.55,1,3.95,"1,55",0.96,55,45,1,,,,,,,,,,,11.1,"1,55",,,X,X,,X,X,X
Acrididae,Orthacanthacris humilicrus,,,,,,,,,,,5.75,9,,,,,,,,,,,,,,,126,9,,,X,,,,,
Acrididae,Orthochtha dasycnemis,,,,,,,,,,,5.15,9,,,,,,,,,,,,,,,31.5,9,,,X,,,,,
Acrididae,Oxya japonica,25.6,52,29.1,52,27.35,52,27.35,52,6.5,5,,,,,61.967,5,70,52,131.967,c,,,,,,,24.21,5,4.95,5,,X,,,,
Acrididae,Oxycatantops adustus,,,,,,,,,,,5.55,9,,,,,,,,,,,,,,,52.5,9,,,X,,,,,
Acrididae,Paracinema tricolor,,,,,,,,,,,4.35,9,,,,,,,,,Multivoltine,7,0,0,1,0,96.5,9,,,X,,,,,
Acrididae,Parahieroglyphus bilineatus,,,,,,,,,,,4.15,10,,,,,,,,,,,,,,,34,10,,,,,,X,,
Acrididae,Pardalophora phoenicoptera,,,,,,,,,,,6.37,55,1.4,55,,,,,,,,,,,,,58.5,55,,,,,,,,
Acrididae,Paraidemona mimica,,,,,,,,,,,3.97,55,1.31,55,,,,,,,,,,,,,12,55,,,,,,,,
Acrididae,Paraidemona punctata,,,,,,,,,,,3.92,55,1.15,55,,,,,,,,,,,,,11.1,55,,,,,,,,
Acrididae,Pardillana limbata,,,,,,,,,7,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Peakesia brunnea,,,,,,,,,5.8,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Peakesia hospita,,,,,,,,,4.5,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Perbellia brevialata,,,,,,,,,7.1,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Percassa rugifrons,,,,,,,,,6.1,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Perelytrana rana,,,,,,,,,4.9,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Perala viridis,,,,,,,,,6.1,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Perunga ochracea,,,,,,,,,5.1,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Phaedrotettix accola,,,,,,,,,,,4.12,55,1.12,55,,,,,,,,,,,,,8,55,,,,,,,,
Acrididae,Phaedrotettix dumicola,,,,,,,,,,,4.25,55,1.15,55,,,,,,,,,,,,,8.8,55,,,,,,,,
Acrididae,Phaedrotettix gracilis,,,,,,,,,,,3.96,55,1.1,55,,,,,,,,,,,,,9.3,55,,,,,,,,
Acrididae,Phaeocatantops decoratus,,,,,,,,,,,4.35,9,,,,,,,,,,,,,,,37,9,,,X,,,,,
Acrididae,Phaulacridium vittatum,11.5,67,16,67,13.75,67,13.75,67,4.9,53,,,,,,,,,,,Univoltine,67,1,0,0,0,,,,,X,,,,,
Acrididae,Phlaeoba panteli,,,,,,,,,,,4.725,10,,,,,,,,,,,,,,,27,10,,,,,,X,,
Acrididae,Phlibostroma quadrimaculatum,14.75,1,20,1,17.375,1,17.375,1,5.5,1,4.99,"1,55",1.1,55,48,1,,,,,,,,,,,9.5,"1,55",,,X,X,,X,X,X
Acrididae,Phoetaliotes nebrascensis,18.6,1,21.5,1,20.05,1,20.05,1,3.45,1,4.25,1,,,55,1,,,,,,,,,,,25,1,,,X,X,,,,X
Acrididae,Pnorisa squalus,,,,,,,,,,,3.85,9,,,,,,,,,,,,,,,19,9,,,X,,,,,
Acrididae,Podisma pedestris,18,2,27,2,22.5,2,22.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Poecilocerastis striata,,,,,,,,,,,4.45,9,,,,,,,,,,,,,,,18,9,,,X,,,,,
Acrididae,Praxibulus insolens,,,,,,,,,6,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Psinidia amplicornus,,,,,,,,,,,5.46,55,1.3,55,,,,,,,,,,,,,11.6,55,,,,,,,,
Acrididae,Psinidia fenestralis,,,,,,,,,,,5.34,55,1.3,55,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Psoloessa delicatula,14,1,19,1,16.5,1,16.5,1,4.85,1,4.9,1,,,,,,,,,Semivoltine,7,0,0,0,1,18,1,,,X,,,X,X,X
Acrididae,Psoloessa texana,,,,,,,,,,,,,,,,,,,,,,,,,,,12,55,,,,,,,,
Acrididae,Psophus stridulus,24,2,33,2,28.5,2,28.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Pycnostictus seriatus,,,,,,,,,4.9,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Qualetta maculata,,,,,,,,,6.3,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Rectitropis australis,,,,,,,,,8.4,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Rhammatocerus schistocercoides,,,,,,,,,,,,,,,,,,,,,Univoltine,72,1,0,0,0,,,,,,,,,,
Acrididae,Rhaphotittha leai,,,,,,,,,,,4,9,,,,,,,,,,,,,,,16,9,,,X,,,,,
Acrididae,Schistocerca americana,,,,,,,,,6.5,61,7.015,"55,61",1.37,55,,,,,,,Bivoltine,7,0,1,0,0,108,55,,,,,,X,X,
Acrididae,Schistocerca cancella,,,,,,,,,,,,,,,33.24,70,88.7,70,136.94,70,Variable,59,1,1,1,0,73,59,,,,,,,,
Acrididae,Schistocerca gregaria,,,,,,,,,,,7.22,65,,,,,,,,,Multivoltine,59,0,0,1,0,62.627,"59,65",2.5,59,,,,,,
Acrididae,Schistocerca lineata,,,,,,,,,,,6.09,55,1.5,55,,,,,,,,,,,,,85.6,55,,,,,,,,
Acrididae,Schistocerca piceifrons,,,,,,,,,,,,,,,,,,,,,Bivoltine,59,0,1,0,0,,,,,,,,,,
Acrididae,Schizobothrus flavovittatus,,,,,,,,,6.2,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Spathosternum prasiniferum,14.8,52,19.7,52,17.25,52,17.25,52,,,4.1,10,,,,,,,,,Bivoltine,52,0,1,0,0,22.5,10,,,,,,X,,
Acrididae,Spharagemon collare,22.25,1,26,1,24.125,1,24.125,1,5.15,1,5.1,1,,,42,1,,,,,,,,,,,24.75,"1,55",,,X,X,,X,,X
Acrididae,Spharagemon equale,25.4,1,31,1,28.2,1,28.2,1,5.2,1,5.25,1,,,55,1,,,,,,,,,,,25,1,,,X,X,,X,,X
Acrididae,Sphingonotus caerulans,20,2,25.5,2,22.75,2,22.75,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Stauroderus scalaris,19.5,2,25,2,22.25,2,22.25,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Stenoborthus lineatus,17,2,23.5,2,20.25,2,20.25,2,,,,,,,,,,,,,Univoltine,50,1,0,0,0,,,,,X,,,X,,
Acrididae,Stenoborthus nigromaculatus,15.5,2,21.5,2,18.5,2,18.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Stenoborthus stigmaticus,13,2,17.5,2,15.25,2,15.25,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Stethophyma grossum,18.5,2,32.5,2,25.5,2,25.5,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Acrididae,Stropis maculosa,,,,,,,,,6.9,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Syrbula admirabilis,,,,,,,,,4.69,55,1.1,55,,,,,,,,,,,,,,,41.8,55,,,,,,,,
Acrididae,Syrbula montezuma,,,,,,,,,4.85,55,1.13,55,,,,,,,,,,,,,,,40,55,,,,,,,,
Acrididae,Trachyrhachys aspera,17,1,23.65,1,20.325,1,20.325,1,5.4,1,4.9,1,,,51,1,,,,,,,,,,,,,,,X,X,,X,,X
Acrididae,Trachyrhachys kiowa,16.5,1,20.5,1,18.5,1,18.5,1,4.15,1,4.575,"1,55",1.19,55,45,1,,,,,Univoltine,1,1,0,0,0,12.85,"1,55",,,X,X,,X,,X
Acrididae,Trilophidia conturbata,,,,,,,,,3.4,8,3.825,"8,9",1.1,8,,,,,,,Bivoltine,8,0,1,0,0,18,"8,9",,,X,,,,,
Acrididae,Trimerotropis pallidipennis,22.25,1,30,1,26.125,1,26.125,1,5.7,1,4.75,1,,,55,1,80,1,135,c,,,,,,,37,"1,55",,,X,X,,X,,
Acrididae,Tolgadia bivittata,,,,,,,,,5.1,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Tristria pallida,,,,,,,,,,,4.15,9,,,,,,,,,,,,,,,17.5,9,,,X,,,,,
Acrididae,Truxalis burtti,,,,,,,,,,,6.5,9,,,,,,,,,,,,,,,23.5,9,,,X,,,,,
Acrididae,Tylotropidius didymus,,,,,,,,,,,5.6,9,,,,,,,,,,,,,,,41.5,9,,,X,,,,,
Acrididae,Urnisa guttulosa,,,,,,,,,5.6,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Valanga irregularis,,,,,,,,,8.5,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Xanthippus corallipes,27,1,38,1,32.5,1,32.5,1,5.35,1,6.045,"1,55",1.41,55,,,,,,,Univoltine,7,1,0,0,0,53,"1,55",,,X,,,X,X,X
Acrididae,Xenocatantops humilis,22.05,52,31.75,52,26.9,52,26.9,52,,,3.95,10,,,91.25,52,,,,,,,,,,,27,10,,,,,,X,,
Acrididae,Zebratula flavonigra,,,,,,,,,4.6,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Anostostomatidae,Anisoura nicobarica,,,,,,,21.5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anostostomatidae,Cratomelus armatus,,,,,,,,,,,3.5,23,,,,,,,,,,,,,,,,,,,X,X,,,,
Anostostomatidae,Deinacrida carinata,,,,,,,40,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anostostomatidae,Deinacrida connectens,,,,,,,45,23,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Anostostomatidae,Deinacrida fallai,,,,,,,,,,,0.7,23,2.5,23,395.4,24,279,24,674.4,c,,,,,,,27,24,,,,,,X,,X
Anostostomatidae,Deinacrida heteracantha,,,,,,,55,16,,,0.7,23,,,547.5,24,175.5,24,723,c,,,,,,,27,24,,,X,,,X,X,X
Anostostomatidae,Deinacrida mahoenui,,,,,,,,,,,7.5,62,2.75,62,,,169,62,1095,62,Multivoltine,62,0,0,1,0,,,,,X,,,X,,X
Anostostomatidae,Deinacrida parva,,,,,,,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Anostostomatidae,Deinacrida pluvialis,,,,,,,54,23,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Anostostomatidae,Deinacrida rugosa,51,16,58,16,54.5,16,54.5,16,,,6.7,23,,,,,,,,,,,,,,,,,,,,,,,,X
Anostostomatidae,Deinacrida talpa,,,,,,,49,23,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Anostostomatidae,Deinacrida tibiospina,,,,,,,33,23,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Anostostomatidae,Hemiandrus electra,18.15,13,21.25,13,19.7,13,19.7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anostostomatidae,Hemiandrus maia,20.75,13,22.7,13,21.725,13,21.725,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Anostostomatidae,Hemiandrus pallitarsis,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,14,,,X,,,,,X
Anostostomatidae,Hemideina armiger,,,,,,,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anostostomatidae,Hemideina broughi,,,,,,,85,23,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Anostostomatidae,Hemideina crassidens,,,,,,,,,,,4.455,23,,,,,,,,,,,,,,,,,,,,,,,,
Anostostomatidae,Hemideina femorata,,,,,,,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anostostomatidae,Hemideina maculifrons,,,,,,,,,,,3.1,23,,,,,,,,,,,,,,,,,,,,,,,,
Anostostomatidae,Hemideina maori,,,,,,,25,16,,,,,,,,,212,15,,,,,,,,,,,,,X,,,,,X
Anostostomatidae,Hemideina megacephala,,,,,,,40,16,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Anostostomatidae,Hemideina ricta,,,,,,,40,16,,,5.91,23,,,,,,,,,,,,,,,,,,,,,,,,
Anostostomatidae,Hemideina subantarcticus,,,,,,,,,,,4.03,23,,,,,,,,,,,,,,,,,,,,,,,,
Anostostomatidae,Hemideina thoracica,,,,,,,33,16,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Anostostomatidae,Motuweta isolata,,,,,,,70,23,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X
Cooloolidae,Cooloola dingo,20.5,11,32.8,11,26.65,11,26.65,11,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Cooloolidae,Cooloola pearsoni,21,12,,,,,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooloolidae,Cooloola propator,26,11,,,,,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooloolidae,Cooloola ziljan,31.42,11,34.6,11,33.01,1,33.01,11,,,4.54,12,,,,,,,,,,,,,,,,,,,X,,,,,
Cylindrachetidae,Cylindracheta campbellii,72.5,27,74,27,73.25,27,73.25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindrachetidae,Cylindraustralia arenivaga,46,27,47,27,46.5,27,46.5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindrachetidae,Cylindraustralia centricola,36.5,27,35,27,35.75,27,35.75,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindrachetidae,Cylindraustralia cookensis,44,27,,,,,44,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindrachetidae,Cylindraustralia granulata,49,27,58.5,27,53.75,27,53.75,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindrachetidae,Cylindraustralia karumbensis,43,27,,,,,43,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindrachetidae,Cylindraustralia kochii,50,27,55.5,27,52.75,27,52.75,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindrachetidae,Cylindraustralia longaeva,,,56,27,,,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindrachetidae,Cylindroryctes spegazzinii,38,27,47,27,42.5,27,42.5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Episactidae,Episactus brunneri,13.63,21,,,,,13.63,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Episactidae,Episactus tristani,11.1,21,16.18,21,13.64,21,13.64,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Episactidae,Lethus nicaraguae,14.5,21,21.05,21,17.775,21,17.775,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Episactidae,Paralethus insolitus,13.53,21,18.78,21,16.155,21,16.155,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Episactidae,Pielomastax cladopygidium,15,20,19,20,17,20,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eumastacidae,Caenomastax bimaculata,12.5,22,12.8,22,12.65,22,12.65,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eumastacidae,Caenomastax insignis,14,22,15.2,22,14.6,22,14.6,22,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
